,Identified_Name,Identified_dist
0,Desconocido,1.0982012748718262
1,Desconocido,1.1246048212051392
2,Desconocido,1.0848596096038818
3,Desconocido,1.0470964908599854
4,Desconocido,1.0247546434402466
5,Desconocido,1.0750150680541992
6,Desconocido,1.1277599334716797
7,Desconocido,1.0543677806854248
8,Desconocido,1.043831706047058
9,Desconocido,1.0293627977371216
10,Desconocido,1.122426986694336
11,Desconocido,1.1156034469604492
12,Desconocido,1.0822445154190063
13,Desconocido,1.1053677797317505
14,Desconocido,1.1323413848876953
15,Desconocido,1.1046974658966064
